code;literal
M906;OSTEITIS DEFORMANTE EN ENFERMEDAD NEOPLASICA (C00-D48+)
M894;OTRAS OSTEOARTROPATIAS HIPERTROFICAS
M908;OSTEOPATIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M420;OSTEOCONDROSIS JUVENIL DE LA COLUMNA VERTEBRAL
M429;OSTEOCONDROSIS VERTEBRAL, NO ESPECIFICADA
M910;OSTEOCONDROSIS JUVENIL DE LA PELVIS
M911;OSTEOCONDROSIS JUVENIL DE LA CABEZA DEL FEMUR (LEGG-CALVE-PERTHES)
M912;COXA PLANA
M913;PSEUDOCOXALGIA
M918;OTRAS OSTEOCONDROSIS JUVENILES DE LA CADERA Y DE LA PELVIS
M919;OSTEOCONDROSIS JUVENIL DE CADERA Y DE LA PELVIS, SIN OTRA ESPECIFICAC
M929;OSTEOCONDROSIS JUVENIL, NO ESPECIFICADA
M930;DESLIZAMIENTO DE LA EPIFISIS FEMORAL SUPERIOR (NO TRAUMATICO)
M920;OSTEOCONDROSIS JUVENIL DEL HUMERO
M921;OSTEOCONDROSIS JUVENIL DEL CUBITO Y DEL RADIO
M922;OSTEOCONDROSIS JUVENIL DE LA MANO
M923;OTRAS OSTEOCONDROSIS JUVENILES DEL MIEMBRO SUPERIOR
M924;OSTEOCONDROSIS JUVENIL DE LA ROTULA
M925;OSTEOCONDROSIS JUVENIL DE LA TIBIA Y DEL PERONE
M928;OTRAS OSTEOCONDROSIS JUVENILES ESPECIFICADAS
M926;OSTEOCONDROSIS JUVENIL DEL TARSO
M927;OSTEOCONDROSIS JUVENIL DEL METATARSO
M928;OTRAS OSTEOCONDROSIS JUVENILES ESPECIFICADAS
M928;OTRAS OSTEOCONDROSIS JUVENILES ESPECIFICADAS
M929;OSTEOCONDROSIS JUVENIL, NO ESPECIFICADA
M932;OSTEOCONDRITIS DISECANTE
M421;OSTEOCONDROSIS DE LA COLUMNA VERTEBRAL DEL ADULTO
M931;ENFERMEDAD DE KIENBOCK DEL ADULTO
M938;OTRAS OSTEOCONDROPATIAS ESPECIFICADAS
M939;OSTEOCONDROPATIA, NO ESPECIFICADA
M485;VERTEBRA COLAPSADA, NO CLASIFICADA EN OTRA PARTE
M488;OTRAS ESPONDILOPATIAS ESPECIFICADAS
M810;OSTEOPOROSIS POSTMENOPAUSICA, SIN FRACTURA PATOLOGICA
M811;OSTEOPOROSIS POSTOOFORECTOMIA, SIN FRACTURA PATOLOGICA
M812;OSTEOPOROSIS POR DESUSO, SIN FRACTURA PATOLOGICA
M813;OSTEOPOROSIS POR MALABSORCION POSTQUIRURGICA, SIN FRACTURA PATOLOGICA
M814;OSTEOPOROSIS INDUCIDA POR DROGAS, SIN FRACTURA PATOLOGICA
M815;OSTEOPOROSIS IDIOPATICA, SIN FRACTURA PATOLOGICA
M816;OSTEOPOROSIS LOCALIZADA [LEQUESNE], SIN FRACTURA PATOLOGICA
M818;OTRAS OSTEOPOROSIS, SIN FRACTURA PATOLOGICA
M819;OSTEOPOROSIS NO ESPECIFICADA, SIN FRACTURA PATOLOGICA
M820;OSTEOPOROSIS EN MIELOMATOSIS MULTIPLE (C90.0+)
M821;OSTEOPOROSIS EN TRASTORNOS ENDOCRINOS (E00-E34+)
M858;OTROS TRASTORNOS ESPECIFICADOS DE LA DENSIDAD Y DE LA ESTRUCTURA OSEAS
M872;OSTEONECROSIS DEBIDA A TRAUMATISMO PREVIO
M485;VERTEBRA COLAPSADA, NO CLASIFICADA EN OTRA PARTE
M495;VERTEBRA COLAPSADA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M800;OSTEOPOROSIS POSTMENOPAUSICA, CON FRACTURA PATOLOGICA
M801;OSTEOPOROSIS POSTOOFORECTOMIA, CON FRACTURA PATOLOGICA
M802;OSTEOPOROSIS POR DESUSO, CON FRACTURA PATOLOGICA
M803;OSTEOPOROSIS POR MALABSORCION POSTQUIRURGICA, CON FRACTURA PATOLOGICA
M804;OSTEOPOROSIS INDUCIDA POR DROGAS, CON FRACTURA PATOLOGICA
M805;OSTEOPOROSIS IDIOPATICA, CON FRACTURA PATOLOGICA
M808;OTRAS OSTEOPOROSIS, CON FRACTURA PATOLOGICA
M809;OSTEOPOROSIS NO ESPECIFICADA, CON FRACTURA PATOLOGICA
M843;FRACTURA POR TENSION, NO CLASIFICADA EN OTRA PARTE
M844;FRACTURA PATOLOGICA, NO CLASIFICADA EN OTRA PARTE
M907;FRACTURA OSEA EN ENFERMEDAD NEOPLASICA (C00-D48+)
J348;OTROS TRASTORNOS ESPECIFICADOS DE LA NARIZ Y DE LOS SENOS PARANASALES
M850;DISPLASIA FIBROSA (MONOSTOTICA)
M854;QUISTE OSEO SOLITARIO
M855;QUISTE OSEO ANEURISMATICO
M856;OTROS QUISTES OSEOS
M838;OTRAS OSTEOMALACIAS DEL ADULTO
M852;HIPEROSTOSIS DEL CRANEO
M870;NECROSIS ASEPTICA IDIOPATICA OSEA
M878;OTRAS OSTEONECROSIS
M879;OSTEONECROSIS, NO ESPECIFICADA
M853;OSTEITIS CONDENSANTE
M940;SINDROME DE LA ARTICULACION CONDROCOSTAL (TIETZE)
M818;OTRAS OSTEOPOROSIS, SIN FRACTURA PATOLOGICA
M890;ALGONEURODISTROFIA
M840;CONSOLIDACION DEFECTUOSA DE FRACTURA
M841;FALTA DE CONSOLIDACION DE FRACTURA (SEUDOARTROSIS)
M842;CONSOLIDACION RETARDADA DE FRACTURA
J348;OTROS TRASTORNOS ESPECIFICADOS DE LA NARIZ Y DE LOS SENOS PARANASALES
M218;OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS, ESPECIFICADAS
M488;OTRAS ESPONDILOPATIAS ESPECIFICADAS
M489;ESPONDILOPATIA, NO ESPECIFICADA
M848;OTROS TRASTORNOS DE LA CONTINUIDAD DEL HUESO
M849;TRASTORNO DE LA CONTINUIDAD DEL HUESO, NO ESPECIFICADO
M851;FLUOROSIS DEL ESQUELETO
M858;OTROS TRASTORNOS ESPECIFICADOS DE LA DENSIDAD Y DE LA ESTRUCTURA OSEAS
M859;TRASTORNO DE LA DENSIDAD Y DE LA ESTRUCTURA OSEAS, NO ESPECIFICADO
M868;OTRAS OSTEOMIELITIS
M869;OSTEOMIELITIS, NO ESPECIFICADA
M891;DETENCION DEL CRECIMIENTO EPIFISARIO
M892;OTROS TRASTORNOS DEL DESARROLLO Y CRECIMIENTO OSEO
M893;HIPERTROFIA DEL HUESO
M895;OSTEOLISIS
M896;OSTEOPATIA A CONSECUENCIA DE POLIOMIELITIS
M898;OTROS TRASTORNOS ESPECIFICADOS DEL HUESO
M899;TRASTORNO DEL HUESO, NO ESPECIFICADO
M908;OSTEOPATIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M941;POLICONDRITIS RECIDIVANTE
M942;CONDROMALACIA
M943;CONDROLISIS
M948;OTROS TRASTORNOS ESPECIFICADOS DEL CARTILAGO
M949;TRASTORNO DEL CARTILAGO, NO ESPECIFICADO
M214;PIE PLANO (PES PLANUS) (ADQUIRIDO)
M201;HALLUX VALGUS (ADQUIRIDO)
M203;OTRAS DEFORMIDADES DEL HALLUX (ADQUIRIDAS)
M202;HALLUX RIGIDUS
M205;OTRAS DEFORMIDADES (ADQUIRIDAS) DEL (DE LOS) DEDO(S) DEL PIE
M204;OTRO(S) DEDO(S) DEL PIE EN MARTILLO (ADQUIRIDOS)
M203;OTRAS DEFORMIDADES DEL HALLUX (ADQUIRIDAS)
M204;OTRO(S) DEDO(S) DEL PIE EN MARTILLO (ADQUIRIDOS)
M205;OTRAS DEFORMIDADES (ADQUIRIDAS) DEL (DE LOS) DEDO(S) DEL PIE
M205;OTRAS DEFORMIDADES (ADQUIRIDAS) DEL (DE LOS) DEDO(S) DEL PIE
Z894;AUSENCIA ADQUIRIDA DE PIE Y TOBILLO
M206;DEFORMIDADES ADQUIRIDAS DE LOS DEDOS DEL PIE, NO ESPECIFICADAS
G20;ENFERMEDAD DE PARKINSON
M200;DEFORMIDAD DE DEDO(S) DE LA MANO
M210;DEFORMIDAD EN VALGO, NO CLASIFICADA EN OTRA PARTE
M211;DEFORMIDAD EN VARO, NO CLASIFICADA EN OTRA PARTE
M213;MU�ECA O PIE EN PENDULO (ADQUIRIDO)
M215;MANO O PIE EN GARRA O EN TALIPES, PIE EQUINOVARO O ZAMBO ADQUIRIDOS
M217;LONGITUD DESIGUAL DE LOS MIEMBROS (ADQUIRIDA)
M218;OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS, ESPECIFICADAS
M219;DEFORMIDAD ADQUIRIDA DEL MIEMBRO, NO ESPECIFICADA
Z891;AUSENCIA ADQUIRIDA DE MANO Y MU�ECA
Z892;AUSENCIA ADQUIRIDA DE MIEMBRO SUPERIOR POR ARRIBA DE LA MU�ECA
Z893;AUSENCIA ADQUIRIDA DE AMBOS MIEMBROS SUPERIORES (CUALQUIER NIVEL)
M200;DEFORMIDAD DE DEDO(S) DE LA MANO
M200;DEFORMIDAD DE DEDO(S) DE LA MANO
Z890;AUSENCIA ADQUIRIDA DE DEDO(S), (INCLUIDO EL PULGAR), UNILATERAL
Z893;AUSENCIA ADQUIRIDA DE AMBOS MIEMBROS SUPERIORES (CUALQUIER NIVEL)
M210;DEFORMIDAD EN VALGO, NO CLASIFICADA EN OTRA PARTE
M211;DEFORMIDAD EN VARO, NO CLASIFICADA EN OTRA PARTE
M212;DEFORMIDAD EN FLEXION
M217;LONGITUD DESIGUAL DE LOS MIEMBROS (ADQUIRIDA)
M218;OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS, ESPECIFICADAS
M219;DEFORMIDAD ADQUIRIDA DEL MIEMBRO, NO ESPECIFICADA
M248;OTRAS LESIONES ARTICULARES ESPECIFICAS, NO CLASIFICADAS EN OTRA PARTE
M898;OTROS TRASTORNOS ESPECIFICADOS DEL HUESO
M912;COXA PLANA
M210;DEFORMIDAD EN VALGO, NO CLASIFICADA EN OTRA PARTE
M211;DEFORMIDAD EN VARO, NO CLASIFICADA EN OTRA PARTE
M925;OSTEOCONDROSIS JUVENIL DE LA TIBIA Y DEL PERONE
M218;OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS, ESPECIFICADAS
M211;DEFORMIDAD EN VARO, NO CLASIFICADA EN OTRA PARTE
M219;DEFORMIDAD ADQUIRIDA DEL MIEMBRO, NO ESPECIFICADA
M228;OTROS TRASTORNOS DE LA ROTULA
M210;DEFORMIDAD EN VALGO, NO CLASIFICADA EN OTRA PARTE
M213;MU�ECA O PIE EN PENDULO (ADQUIRIDO)
M215;MANO O PIE EN GARRA O EN TALIPES, PIE EQUINOVARO O ZAMBO ADQUIRIDOS
M216;OTRAS DEFORMIDADES ADQUIRIDAS DEL TOBILLO Y DEL PIE
M218;OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS, ESPECIFICADAS
Z894;AUSENCIA ADQUIRIDA DE PIE Y TOBILLO
Z897;AUSENCIA ADQUIRIDA AMBOS MMII (CUALQUIER NIVEL, EXCEP DEDOS PIE SOLO)
M217;LONGITUD DESIGUAL DE LOS MIEMBROS (ADQUIRIDA)
M218;OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS, ESPECIFICADAS
M219;DEFORMIDAD ADQUIRIDA DEL MIEMBRO, NO ESPECIFICADA
Z892;AUSENCIA ADQUIRIDA DE MIEMBRO SUPERIOR POR ARRIBA DE LA MU�ECA
Z893;AUSENCIA ADQUIRIDA DE AMBOS MIEMBROS SUPERIORES (CUALQUIER NIVEL)
Z895;AUSENCIA ADQUIRIDA DE PIERNA A NIVEL DE O DEBAJO DE LA RODILLA
Z896;AUSENCIA ADQUIRIDA DE PIERNA POR ARRIBA DE LA RODILLA
Z897;AUSENCIA ADQUIRIDA AMBOS MMII (CUALQUIER NIVEL, EXCEP DEDOS PIE SOLO)
Z898;AUSENCIA ADQUIRIDA MIEMBROS SUPERIORES E INFERIORES (CUALQUIER NIVEL)
Z899;AUSENCIA ADQUIRIDA DE MIEMBROS NO ESPECIFICADOS
M210;DEFORMIDAD EN VALGO, NO CLASIFICADA EN OTRA PARTE
M211;DEFORMIDAD EN VARO, NO CLASIFICADA EN OTRA PARTE
M212;DEFORMIDAD EN FLEXION
M218;OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS, ESPECIFICADAS
M219;DEFORMIDAD ADQUIRIDA DEL MIEMBRO, NO ESPECIFICADA
Z899;AUSENCIA ADQUIRIDA DE MIEMBROS NO ESPECIFICADOS
M400;CIFOSIS POSTURAL
M400;CIFOSIS POSTURAL
M401;OTRAS CIFOSIS SECUNDARIAS
M402;OTRAS CIFOSIS Y LAS NO ESPECIFICADAS
M962;CIFOSIS POSTRADIACION
M963;CIFOSIS POSTLAMINECTOMIA
M404;OTRAS LORDOSIS
M405;LORDOSIS, NO ESPECIFICADA
M964;LORDOSIS POSTQUIRURGICA
M410;ESCOLIOSIS IDIOPATICA INFANTIL
M411;ESCOLIOSIS IDIOPATICA JUVENIL
M412;OTRAS ESCOLIOSIS IDIOPATICAS
M413;ESCOLIOSIS TORACOGENICA
M414;ESCOLIOSIS NEUROMUSCULAR
M415;OTRAS ESCOLIOSIS SECUNDARIAS
M418;OTRAS FORMAS DE ESCOLIOSIS
M419;ESCOLIOSIS, NO ESPECIFICADA
M965;ESCOLIOSIS POSTRADIACION
M490;TUBERCULOSIS DE LA COLUMNA VERTEBRAL (A18.0+)
M493;ESPONDILOPATIA EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CEOP
M494;ESPONDILOPATIA NEUROPATICA
M498;ESPONDILOPATIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M403;SINDROME DE ESPALDA PLANA
M405;LORDOSIS, NO ESPECIFICADA
M438;OTRAS DORSOPATIAS DEFORMANTES DE LA COLUMNA VERTEBRAL ESPECIFICADAS
M402;OTRAS CIFOSIS Y LAS NO ESPECIFICADAS
M438;OTRAS DORSOPATIAS DEFORMANTES DE LA COLUMNA VERTEBRAL ESPECIFICADAS
M439;DORSOPATIA DEFORMANTE, NO ESPECIFICADA
J348;OTROS TRASTORNOS ESPECIFICADOS DE LA NARIZ Y DE LOS SENOS PARANASALES
M950;DEFORMIDAD ADQUIRIDA DE LA NARIZ
Z900;AUSENCIA ADQUIRIDA DE PARTE DE LA CABEZA Y DEL CUELLO
M952;OTRAS DEFORMIDADES ADQUIRIDAS DE LA CABEZA
M953;DEFORMIDAD ADQUIRIDA DEL CUELLO
M954;DEFORMIDAD ADQUIRIDA DE COSTILLAS Y TORAX
M958;OTRAS DEFORMIDADES ADQUIRIDAS ESPECIFICADAS DEL SISTEMA OSTEOMUSCULAR
Z908;AUSENCIA ADQUIRIDA DE OTROS ORGANOS
M431;ESPONDILOLISTESIS
M430;ESPONDILOLISIS
M438;OTRAS DORSOPATIAS DEFORMANTES DE LA COLUMNA VERTEBRAL ESPECIFICADAS
M439;DORSOPATIA DEFORMANTE, NO ESPECIFICADA
M438;OTRAS DORSOPATIAS DEFORMANTES DE LA COLUMNA VERTEBRAL ESPECIFICADAS
M955;DEFORMIDAD ADQUIRIDA DE LA PELVIS
M951;OREJA EN COLIFLOR
J986;TRASTORNOS DEL DIAFRAGMA
M218;OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS, ESPECIFICADAS
M219;DEFORMIDAD ADQUIRIDA DEL MIEMBRO, NO ESPECIFICADA
M958;OTRAS DEFORMIDADES ADQUIRIDAS ESPECIFICADAS DEL SISTEMA OSTEOMUSCULAR
M959;DEFORMIDAD ADQUIRIDA DEL SISTEMA OSTEOMUSCULAR, NO ESPECIFICADA
M990;DISFUNCION SEGMENTAL O SOMATICA
M991;COMPLEJO DE SUBLUXACION (VERTEBRAL)
M992;SUBLUXACION CON ESTENOSIS DEL CANAL NEURAL
M993;ESTENOSIS OSEA DEL CANAL NEURAL
M994;ESTENOSIS DEL CANAL NEURAL POR TEJIDO CONJUNTIVO
M995;ESTENOSIS DEL CANAL NEURAL POR DISCO INTERVERTEBRAL
M996;ESTENOSIS OSEA Y SUBLUXACION DE LOS AGUJEROS INTERVERTEBRALES
M997;ESTENOSIS DE AGUJEROS INTERVERT POR TEJ CONJUNTIVO O DISCO INTERVERT
M998;OTRAS LESIONES BIOMECANICAS
M999;LESION BIOMECANICA, NO ESPECIFICADA
M990;DISFUNCION SEGMENTAL O SOMATICA
M991;COMPLEJO DE SUBLUXACION (VERTEBRAL)
M992;SUBLUXACION CON ESTENOSIS DEL CANAL NEURAL
M993;ESTENOSIS OSEA DEL CANAL NEURAL
M994;ESTENOSIS DEL CANAL NEURAL POR TEJIDO CONJUNTIVO
M995;ESTENOSIS DEL CANAL NEURAL POR DISCO INTERVERTEBRAL
M996;ESTENOSIS OSEA Y SUBLUXACION DE LOS AGUJEROS INTERVERTEBRALES
M997;ESTENOSIS DE AGUJEROS INTERVERT POR TEJ CONJUNTIVO O DISCO INTERVERT
M998;OTRAS LESIONES BIOMECANICAS
M999;LESION BIOMECANICA, NO ESPECIFICADA
M990;DISFUNCION SEGMENTAL O SOMATICA
M991;COMPLEJO DE SUBLUXACION (VERTEBRAL)
M992;SUBLUXACION CON ESTENOSIS DEL CANAL NEURAL
M993;ESTENOSIS OSEA DEL CANAL NEURAL
M994;ESTENOSIS DEL CANAL NEURAL POR TEJIDO CONJUNTIVO
M995;ESTENOSIS DEL CANAL NEURAL POR DISCO INTERVERTEBRAL
M996;ESTENOSIS OSEA Y SUBLUXACION DE LOS AGUJEROS INTERVERTEBRALES
M997;ESTENOSIS DE AGUJEROS INTERVERT POR TEJ CONJUNTIVO O DISCO INTERVERT
M998;OTRAS LESIONES BIOMECANICAS
M999;LESION BIOMECANICA, NO ESPECIFICADA
M990;DISFUNCION SEGMENTAL O SOMATICA
M991;COMPLEJO DE SUBLUXACION (VERTEBRAL)
M992;SUBLUXACION CON ESTENOSIS DEL CANAL NEURAL
M993;ESTENOSIS OSEA DEL CANAL NEURAL
M994;ESTENOSIS DEL CANAL NEURAL POR TEJIDO CONJUNTIVO
M995;ESTENOSIS DEL CANAL NEURAL POR DISCO INTERVERTEBRAL
M996;ESTENOSIS OSEA Y SUBLUXACION DE LOS AGUJEROS INTERVERTEBRALES
M997;ESTENOSIS DE AGUJEROS INTERVERT POR TEJ CONJUNTIVO O DISCO INTERVERT
M998;OTRAS LESIONES BIOMECANICAS
M999;LESION BIOMECANICA, NO ESPECIFICADA
M990;DISFUNCION SEGMENTAL O SOMATICA
M991;COMPLEJO DE SUBLUXACION (VERTEBRAL)
M992;SUBLUXACION CON ESTENOSIS DEL CANAL NEURAL
M993;ESTENOSIS OSEA DEL CANAL NEURAL
M994;ESTENOSIS DEL CANAL NEURAL POR TEJIDO CONJUNTIVO
M995;ESTENOSIS DEL CANAL NEURAL POR DISCO INTERVERTEBRAL
M996;ESTENOSIS OSEA Y SUBLUXACION DE LOS AGUJEROS INTERVERTEBRALES
M997;ESTENOSIS DE AGUJEROS INTERVERT POR TEJ CONJUNTIVO O DISCO INTERVERT
M998;OTRAS LESIONES BIOMECANICAS
M999;LESION BIOMECANICA, NO ESPECIFICADA
M990;DISFUNCION SEGMENTAL O SOMATICA
M991;COMPLEJO DE SUBLUXACION (VERTEBRAL)
M992;SUBLUXACION CON ESTENOSIS DEL CANAL NEURAL
M993;ESTENOSIS OSEA DEL CANAL NEURAL
M994;ESTENOSIS DEL CANAL NEURAL POR TEJIDO CONJUNTIVO
M995;ESTENOSIS DEL CANAL NEURAL POR DISCO INTERVERTEBRAL
M996;ESTENOSIS OSEA Y SUBLUXACION DE LOS AGUJEROS INTERVERTEBRALES
M997;ESTENOSIS DE AGUJEROS INTERVERT POR TEJ CONJUNTIVO O DISCO INTERVERT
M998;OTRAS LESIONES BIOMECANICAS
M999;LESION BIOMECANICA, NO ESPECIFICADA
M990;DISFUNCION SEGMENTAL O SOMATICA
M991;COMPLEJO DE SUBLUXACION (VERTEBRAL)
M992;SUBLUXACION CON ESTENOSIS DEL CANAL NEURAL
M993;ESTENOSIS OSEA DEL CANAL NEURAL
M994;ESTENOSIS DEL CANAL NEURAL POR TEJIDO CONJUNTIVO
M995;ESTENOSIS DEL CANAL NEURAL POR DISCO INTERVERTEBRAL
M996;ESTENOSIS OSEA Y SUBLUXACION DE LOS AGUJEROS INTERVERTEBRALES
M997;ESTENOSIS DE AGUJEROS INTERVERT POR TEJ CONJUNTIVO O DISCO INTERVERT
M998;OTRAS LESIONES BIOMECANICAS
M999;LESION BIOMECANICA, NO ESPECIFICADA
M990;DISFUNCION SEGMENTAL O SOMATICA
M991;COMPLEJO DE SUBLUXACION (VERTEBRAL)
M992;SUBLUXACION CON ESTENOSIS DEL CANAL NEURAL
M993;ESTENOSIS OSEA DEL CANAL NEURAL
M994;ESTENOSIS DEL CANAL NEURAL POR TEJIDO CONJUNTIVO
M995;ESTENOSIS DEL CANAL NEURAL POR DISCO INTERVERTEBRAL
M996;ESTENOSIS OSEA Y SUBLUXACION DE LOS AGUJEROS INTERVERTEBRALES
M997;ESTENOSIS DE AGUJEROS INTERVERT POR TEJ CONJUNTIVO O DISCO INTERVERT
M998;OTRAS LESIONES BIOMECANICAS
M999;LESION BIOMECANICA, NO ESPECIFICADA
M990;DISFUNCION SEGMENTAL O SOMATICA
M991;COMPLEJO DE SUBLUXACION (VERTEBRAL)
M992;SUBLUXACION CON ESTENOSIS DEL CANAL NEURAL
M993;ESTENOSIS OSEA DEL CANAL NEURAL
M994;ESTENOSIS DEL CANAL NEURAL POR TEJIDO CONJUNTIVO
M995;ESTENOSIS DEL CANAL NEURAL POR DISCO INTERVERTEBRAL
M996;ESTENOSIS OSEA Y SUBLUXACION DE LOS AGUJEROS INTERVERTEBRALES
M997;ESTENOSIS DE AGUJEROS INTERVERT POR TEJ CONJUNTIVO O DISCO INTERVERT
M998;OTRAS LESIONES BIOMECANICAS
M999;LESION BIOMECANICA, NO ESPECIFICADA
M990;DISFUNCION SEGMENTAL O SOMATICA
M991;COMPLEJO DE SUBLUXACION (VERTEBRAL)
M992;SUBLUXACION CON ESTENOSIS DEL CANAL NEURAL
M993;ESTENOSIS OSEA DEL CANAL NEURAL
M994;ESTENOSIS DEL CANAL NEURAL POR TEJIDO CONJUNTIVO
M995;ESTENOSIS DEL CANAL NEURAL POR DISCO INTERVERTEBRAL
M996;ESTENOSIS OSEA Y SUBLUXACION DE LOS AGUJEROS INTERVERTEBRALES
M997;ESTENOSIS DE AGUJEROS INTERVERT POR TEJ CONJUNTIVO O DISCO INTERVERT
M998;OTRAS LESIONES BIOMECANICAS
M999;LESION BIOMECANICA, NO ESPECIFICADA
Q000;ANENCEFALIA
Q001;CRANEORRAQUISQUISIS
Q002;INIENCEFALIA
Q050;ESPINA BIFIDA CERVICAL CON HIDROCEFALO
Q051;ESPINA BIFIDA TORACICA CON HIDROCEFALO
Q052;ESPINA BIFIDA LUMBAR CON HIDROCEFALO
Q053;ESPINA BIFIDA SACRA CON HIDROCEFALO
Q054;ESPINA BIFIDA CON HIDROCEFALO, SIN OTRA ESPECIFICACION
Q070;SINDROME DE ARNOLD-CHIARI
Q055;ESPINA BIFIDA CERVICAL SIN HIDROCEFALO
Q056;ESPINA BIFIDA TORACICA SIN HIDROCEFALO
Q057;ESPINA BIFIDA LUMBAR SIN HIDROCEFALO
Q058;ESPINA BIFIDA SACRA SIN HIDROCEFALO
Q059;ESPINA BIFIDA, NO ESPECIFICADA
Q010;ENCEFALOCELE FRONTAL
Q011;ENCEFALOCELE NASOFRONTAL
Q012;ENCEFALOCELE OCCIPITAL
Q018;ENCEFALOCELE DE OTROS SITIOS
Q019;ENCEFALOCELE, NO ESPECIFICADO
Q758;OTRAS MALFORM CONGENITAS ESPECIF DE LOS HUESOS DEL CRANEO Y DE LA CARA
Q02;MICROCEFALIA
Q040;MALFORMACIONES CONGENITAS DEL CUERPO CALLOSO
Q041;ARRINENCEFALIA
Q042;HOLOPROSENCEFALIA
Q043;OTRAS ANOMALIAS HIPOPLASICAS DEL ENCEFALO
Q030;MALFORMACIONES DEL ACUEDUCTO DE SILVIO
Q031;ATRESIA DE LOS AGUJEROS DE MAGENDIE Y DE LUSCHKA
Q038;OTROS HIDROCEFALOS CONGENITOS
Q039;HIDROCEFALO CONGENITO, NO ESPECIFICADO
Q043;OTRAS ANOMALIAS HIPOPLASICAS DEL ENCEFALO
Q044;DISPLASIA OPTICOSEPTAL
Q045;MEGALENCEFALIA
Q046;QUISTES CEREBRALES CONGENITOS
Q048;OTRAS MALFORMACIONES CONGENITAS DEL ENCEFALO, ESPECIFICADAS
Q049;MALFORMACION CONGENITA DEL ENCEFALO, NO ESPECIFICADA
Q060;AMIELIA
Q061;HIPOPLASIA Y DISPLASIA DE LA MEDULA ESPINAL
Q062;DIASTEMATOMIELIA
Q063;OTRAS ANOMALIAS CONGENITAS DE LA COLA DE CABALLO
Q064;HIDROMIELIA
Q068;OTRAS MALFORMACIONES CONGENITAS ESPECIFICADAS DE LA MEDULA ESPINAL
Q069;MALFORMACION CONGENITA DE LA MEDULA ESPINAL, NO ESPECIFICADA
G901;DISAUTONOMIA FAMILIAR( SINDROME DE RILEY-DAY)
Q078;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA NERVIOSO, ESPECIFICADAS
Q079;MALFORMACION CONGENITA DEL SISTEMA NERVIOSO, NO ESPECIFICADA
Q048;OTRAS MALFORMACIONES CONGENITAS DEL ENCEFALO, ESPECIFICADAS
Q049;MALFORMACION CONGENITA DEL ENCEFALO, NO ESPECIFICADA
Q061;HIPOPLASIA Y DISPLASIA DE LA MEDULA ESPINAL
Q069;MALFORMACION CONGENITA DE LA MEDULA ESPINAL, NO ESPECIFICADA
Q078;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA NERVIOSO, ESPECIFICADAS
Q079;MALFORMACION CONGENITA DEL SISTEMA NERVIOSO, NO ESPECIFICADA
Q110;GLOBO OCULAR QUISTICO
Q111;OTRAS ANOFTALMIAS
Q112;MICROFTALMIA
Q158;OTRAS MALFORMACIONES CONGENITAS DEL OJO, ESPECIFICADAS
Q870;SINDROMES DE MALFORM CONGENITAS QUE AFECTAN PRINC LA APARIENCIA FACIAL
Q112;MICROFTALMIA
Q150;GLAUCOMA CONGENITO
Q120;CATARATA CONGENITA
Q121;DESPLAZAMIENTO CONGENITO DEL CRISTALINO
Q122;COLOBOMA DEL CRISTALINO
Q123;AFAQUIA CONGENITA
Q124;ESFEROFAQUIA
Q128;OTRAS MALFORMACIONES CONGENITAS DEL CRISTALINO
Q130;COLOBOMA DEL IRIS
Q131;AUSENCIA DEL IRIS
Q132;OTRAS MALFORMACIONES CONGENITAS DEL IRIS
Q133;OPACIDAD CORNEAL CONGENITA
Q134;OTRAS MALFORMACIONES CONGENITAS DE LA CORNEA
Q135;ESCLEROTICA AZUL
Q138;OTRAS MALFORMACIONES CONGENITAS DEL SEGMENTO ANTERIOR DEL OJO
Q139;MALFORMACION CONGENITA DEL SEGMENTO ANTERIOR DEL OJO, NO ESPECIFICADA
Q150;GLAUCOMA CONGENITO
Q158;OTRAS MALFORMACIONES CONGENITAS DEL OJO, ESPECIFICADAS
H473;OTROS TRASTORNOS DEL DISCO OPTICO
Q140;MALFORMACION CONGENITA DEL HUMOR VITREO
Q141;MALFORMACION CONGENITA DE LA RETINA
Q142;MALFORMACION CONGENITA DEL DISCO OPTICO
Q143;MALFORMACION CONGENITA DE LA COROIDES
Q148;OTRAS MALFORMACIONES CONGENITAS DEL SEGMENTO POSTERIOR DEL OJO
Q158;OTRAS MALFORMACIONES CONGENITAS DEL OJO, ESPECIFICADAS
